,label,full_text
57,1,amp gone always hoe
58,1,son bitch took tic tacs like movie
59,1,wan na get money fuck model bitch russell simmons
60,1,seniorprobs probably mind school much deal bitch teacher retweet
61,1,xdemery fucking fag said
62,1,arizzleindacut female think dating pussy cute http co vxbjg gsz doe stuff make pussy
63,0,addicted guy simplyaddictedtoguys http co jl hi zmf woof woof hot scally lad
64,1,adorebellaaa ya ever asked bitch bitch kanye voice yes
65,1,adorezoey u gone bring ur side bitch game know ya gf friend swear
66,0,allaboutmanfeet http co gzupfumev woof woof hot sol
67,0,allyhaaaaa lemmie eat oreo amp dish one oreo lol
68,1,almightywayne__ jetsandaswisher gook____ bitch fuck u http co pxmga nc maybe get better http co tprevwfq
69,1,almightywayne__ fuck red malone man bitch niggah could please use complete sentence
70,0,arizonasfinest eggplant emoji doe say looked like scream lmao
71,1,autoworid hennessey venom gt http co egmnkaj one sexy bitch
72,1,bossbytchh seh pussy wetter shower curtain ahmesehwetness lt lmao
73,1,bro_hen eaglesnation every eagle need see pic posted bitch said racist shit
74,1,bvsedchink yo fuck skateboarding wood pushing faggot man ball life http co vbczp hmt amjemiebenn
75,0,babyanimalpics baby monkey bathtime http co kpwadlf r awwwwe soooo adorable
76,1,baylaagottabody shit damn skippy lol
77,1,beeasyjrizzy u ever kill ant sidewalk think damn nigga wa way get pussy b must b gt chance
78,1,beenbasedb _kudabrazyy http co luubgl u ring mvp bitch lol
79,1,beenflynsolo ppl talk bad ghetto hood kid growing nigga funnnnnnn
80,1,bestproadvice fact tattoo tattoo http co zwnbhpdz e pussy tattooing nipple
82,1,bitchjones get worshiping bitch http co r cejcjou woof woof
84,1,blacknerdjade ok si rather broke bitch shrug tell work
85,1,blackman tide whalelookyhere howdydowdy queer gaywad
86,1,brokenpiecesmsc itsnotadam faggot read tweet dat k even funny lol
87,1,brosconfessions bitch wa ungrateful http co e bgwbx fr lulwhore
88,1,cashandboobies kidnapped yo bitch
89,1,cb_baby white_thunduh alsarabsss beaner smh tell mexican
90,1,ccobey aydanmccoy happy birthday nigs thanks yo
91,1,chlldhoodruiner ur teacher tell u u homework http co rkk vawij bitch need go
92,1,caelang edham caelang nigga wa eating hoe lol hell yea lol john paul nigga said john paul http co osipbkpr h
93,1,canifuckornah would lil ugly bald headed bitch stop making make amp weave
94,1,carelessone leaf better win damn game go riot shit earlychristmas better start looting nig
95,1,causewereguys going back school suck dick hoe attend
96,1,causewereguys way fuck yo bitch http co j ze r year old
97,1,celeynichole white_thunduh come never bring food dont car retard
98,1,chadmfverbeck richnow show hella tinder hoe im friend anymore chill brought like like prople
99,1,chandlerparsons bout cowboy shutup pussy
100,1,clicquotsuave lmaooooooooooo nigga krillz_nuh_care http co aanpsujmyi lt bitch want like depressing shit foh
101,1,coley_cee lil_aerii girl know wa spitting g shit amp wa going lbvs bitch plz
102,1,coley_cee let make couple tweet cuzzo page get twitter jail lmao bitch trick
103,1,comedyposts harlem shake excuse go full retard second
104,1,comedytruth amen miley http co p kb tfyxr okay need act like hoe bc emotionally damaged foh
105,1,corybandz one loyal female wayyyyy better hoe idc
106,1,crhedrys pussy licking pussy meow meow stopwhitepeople http co keegdcjs k
107,1,dbab_holloway check th man cowboysnation even faggot ny fan stand
108,1,dgotbricks happen vixen ent bitch got ran threw side like foothill bitch
109,1,daedavidavie white_thunduh im bitch okay nude pat wow
110,1,devilgrimz vigxrarts fucking gay blacklisted hoe holding tehgodclan anyway http co xuccwoetmn
111,1,diamondloudkush fuck wrong bitch nobody know
112,1,dietrich yall shut p make bitch
113,1,dionairish hate pregnant type bitch
114,1,doyou_q got bitch dm ever read em top
115,0,domworldpeace baseball season win yankee love started
116,1,dommoneek little stupid bitch fuck yoooooouuuu
117,1,dreadheadari really asked dead serious tho could say wa bitch wheet lol
118,0,dunderbail early bird night owl wise worm
119,0,edgarpixar overdosing heavy drug sound bad tonight pussy shit every day
120,0,el_grillo pit bull photographed lovely fairy tale creature http co q sm oolh fairy tale creature
121,1,ferocious_ghost stname_bravo aw fag tweet aw lol
122,0,flokid long lakers trash could careless real cc benballer hahaha
123,1,frosstyy_ h rheyd say anything tho kiss faggot
124,0,funnypicsdepot play soccer cheat girl wear khaki coloured cargo haircut http co zuai qwbir yup
125,1,g status could go fat bitch lap
126,1,gedmelle missed call da yo p bitch twitter finna screamn freemoneymelle
127,1,gtm_al ya side bitch got ta know rule shit anybody ask cousin jersey thinkin bout moving lmmfao
128,1,gagatom malefoot amo los pie http co qe hdkk fuck yeah
129,1,girlthatsvonte hoe thinking meat slap ainna bruh
130,1,girlthatsvonte yall bitch wit edge talking
131,1,girlthatsvonte yall still going trick treating year nah hell yeah ima da sweet tooth bandit steal bitch bag n shit
132,1,girllssues wan na sex mom fuck right pussy came damn got hacked like fuck
133,1,gizzy_jones kiss u eye open watch bitch lmfao
134,1,goofstroop woulda coulda shoulda hoe
135,1,gotti_ltf happy bday bitch nigga jetsandaswisher preciate bitch roll
136,1,hbmostdope jayee pipinhoes used send bitch
137,1,hbmostdope ugly bitch like wcw duh bitch nobody el
138,1,halotgmg stname_bravo nigga know hacky sack hoe nah throw look pass lmao
139,1,heartlessfuck glad getting outta atlanta nothing bunch nigga amp outta jail amp dumb bitch mad kid fuckin em
140,0,hermosaalma ghetto smart http co mpazq jswf idc
141,1,hiimjorib would wife hoe cuz care cheating force relationship first place
142,1,hornyfacts single excuse hoe theonemiss_luu
143,1,hoskinsty white boy power bitch black power bitch
144,1,hudgens_ let get drunk get blowed spit shit spark blunts amp fuck hoe bro white dude chill
145,1,iscoutgirls verbally_abrupt bitch u around world back
146,1,itsyahboiray anelylove get dick sucked yo party bad bitch fr gone set anelylove
147,1,itsyesie oomf soooo cute probably ha hoe lot
148,1,jayten every cartoon alway _nuffsaid saving hoe lmao http co ukd wtz x lmao damn captain saveahoe
149,0,jreebo want get nose bad bois scally chav sockfetish stinking http co feqxgn w hot sox leg
150,1,jamesynba wish wa bitch like brother keezy ooooow bet
151,1,jasminepore dressed cat halloween basic pussy
152,1,jewelxo pornhub get gaming stream feature dumb bitch gtfo pornhub get katie lt
153,1,joebudden stop scared choke sex u bitch nigga like say guy hit woman bed foh
154,1,johnny perez white_thunduh ha well iguess make hoe loyal bro theyll never loyal hoe nig
155,1,kazatta takehov oh man molly ho fuck ya seed fixed
156,1,kelsiebelsi man refer every girl bitch
157,1,keyshawnswag lmfao cat started beating shit nigga finally got pussy nigga
158,0,keyshawnswag peel peel bring back rewind back move shaq line ooooow tf said trash
159,1,kingcuh stanley io io alu record ho vine sai pe hahahaha lol anywaaaaaays haha
160,1,kinghendo vondreaam naw old tape new cover upcoming mixtape kingofthehill yeah waiting hoe mayne
161,1,kingteej_ ol dirty foot bitch wa funny
162,1,king_shawn_ white_thunduh get yellow flag amazing hell yeah niggy
163,1,kissmysmilee got time bitch actin iffy
165,1,kyranadiya_ hoe loyal http co h ubsvbkgl smfh amp wonder nobody decent want
166,1,lcistj bruh stud keep thinking soft hell ask ya girl many time screamed wa bitch oh okay stfu bye hoe
167,1,lodycash dry pussy bitch always blame condom
168,1,lunaraps shut yo bitch http co iemn u gm
169,1,laflaregodjosh gucci mane jail dropping mixtapes every month hoe even text back
170,1,latrobemark love hoe money wats wrong nigga
171,1,lebronvuitton loyal bitch burbs without daddy issue like finding holographic mewtwo sounding like lol
172,1,lilfridayhoe easy cum easy hoe fact
173,1,lifeasbros charlie sheen real http co gggdk kov major fucking respect charlie sheen
174,1,lightskingawdd wish bae got hoe tho
175,1,lil_mike_ fuck twerking bitch cook
176,1,linniekravitz wesgodlaflare bitch wtf http co dasmycxodb
177,1,lipe_the_great h rheyd lipe_the_great shut zoe fight pussy zoe good man good move along
178,1,lolaaisdope lmao fucking snake bitch em
179,1,loveable_aizah big booty hoe everywhere sheesh damn
180,0,mlbnetwork stay tuned mlbnetwork update report yankee b teixeiramark week dliming bum
181,0,m_rad dezdlt play soccer cheat girl wear khaki coloured cargo haircut http co tycihd pkw yes lmfao soccerboy_
182,1,madflyentist oregon choke every year get field trash program rft
184,1,markroundtreejr lmfaoooo hate black people http co rnvd nlcdr black people nigger
185,1,master _ tolife_ gabrielastarr could u bitch potent
186,0,maxmayo http co jk kr x pissed lad past would lick dirty sol slept
187,0,maxmayo http co prrskknqrv love frat boy w soft long sol
188,0,maxmayo http co xpsc makgj sexy lad hot sol arch
189,1,megamindnick white_thunduh nah fam got ta cheat hoe depends female feel
190,0,mesha_nojas _vontethekidd got hick lol
191,1,migsmichelen new twitter confusing shit go back south america bitch
192,1,miikito_x toto mean vagina think pussy cause toto santi like nasty pussy
193,1,mikelahenry actually doe choose ugly bitch must fat
194,1,mileycyrus bitch kill vibe ya tried dis love miley
195,1,montrell_ tired bitch saying look mean nigga big af wear tight shirt grim everybody
196,0,motherjones bird grandkids may never see thanks climate change http co xqmxhkaswt http co rbitegrnhm climate
197,1,mvckfadden stay beautiful bitch
198,1,nickiminaj wutkinda r purple ceeeleee man gurl wa jus playin stupid hoe track still shitted sum gurls
199,1,nastycopper money getting taller bitch getting blurry
200,1,newsomejade never seen bitch obsessed nigga obsessed mine
201,1,nicholas_ted kobe stay talking trash let forget http co vh tnekvtp j_austin meant one smh
202,1,nochillpaz least nigger http co rgja cfoit lmfao
203,1,no_fakingg people always asking mixed bad asian bitch lol
204,1,notoriousbm _whiteponyjr_ ariza snake coward least cripple like hero roach lmaoo
205,0,osay_it_aint_so ignorealllaws foster home imaginary trash whoa chill show wa everything tf
206,1,officialreplay lowkey tired tired quiet go sleep hoe
207,1,prayingforhead macklemroe stop bringing weird nigger mention prayingforhead http co cussdjesrk
208,1,prettyboss_brat love hoe
209,1,patrickquelo yo girl cant homeboy ol weak bitch nigga
210,1,patsfanjoe d_palomino think worst advice gave wa pussy speed lol
211,1,poemsporn quote tweet favorite animal pussy
212,1,poetic_success hate stripper tell dancer hoe ballet dancer pop pussy beethoven stripper
213,1,poffalicious andrewbryant poff ha double vision beer poff double pussy smh
214,1,poobie_ bitch twerk computer ya ya damn
215,1,prodsjewel_ sreadthepeace yungmindless peacepunkprince prince art http co ephrwxmbhr nobody takin bitch
216,0,quan welfare government aid claimed white people black slander trash
217,1,quan bitch care play role
218,1,queen_kaaat took find wa hiding lime tree iemonaids dis bitch da wrong tree bro
220,0,rachiesoul dizzleofficial inna di ghetto alone lmaoo
221,0,ramboutit master _ tolife_ ramboutit hoe austin teach u austin teach u get curved know
222,1,reachtheeclimax bitch cook know suck dick one
223,1,renegademo fat hoe get chose lol
224,1,riahsm hoesaintloyal well hoe one expects loyal
225,1,rishaawilliams treshon_scrooge _nevertrustt ol bitch http co amcoiny wg
226,1,rnadjorell bruh im tired nigga retweetin miley cyrus naked bitch aint type bad lmaooo
227,1,sactownprodigy tony romo mavs game dont mean still bitch lmao fuk cowgirl lol bitch fuck
228,1,samjlayman holy shit freddie highmore wa charlie chocolate factory roll floor laughing
229,1,samirahusic_ want sex gf feel like using anonymous whata faggot
230,1,sexualgxfs one follower http co f tjl xnct somebody bitch
231,1,shaa_jenkins ya bitch always bitching clearly care annoying bitch
232,1,shantaughther catfish hoe thinkin slick nigga catching
233,1,shewenttojordan worry bitch worried bout real
234,1,showarrive side hoe insecure nigga handle real one
236,1,shun_stokes cousin said share hoe brother said sharing caring love brother
237,1,slimgirl_probz hungry ionn wan na spend money food broke hoe problem
238,1,smeegbaby dese hoe lyin u nigga
239,1,snakecharmsdump http co b dqzcv oh yeah fuck bitch
240,0,sportscenter eli manning threw nfl leading th interception season lmao trash
241,0,sportscenter usc senior rb anthony brown call head coach steve sarkisian racist quits team http co joosdsubir bitch
242,1,stellatex guess also zero time mansplaining adios stfu pussy
243,0,stephenwildboy chilling http co mik ipnle sexy scally lad
244,1,strap__ sharing bitch mine mine
245,1,sukmysweetness money impress simple broke bitch
246,1,sylvieamx pisces never anybody bitch let people control change rigghhht
247,0,tee_jonez stanley kingcuh tuku ho idk blah blah blah
248,0,tee_jonez kingcuh stanley mad cuh hahaha suure tuku ho ita
249,1,tayknosbest hoe crazy
250,1,taylorr_babee ever gon na slice bitch kevin hart
251,1,thatniggatroy oomf fuckin fine tho dam bitch
252,1,thegamerkingkev wonder girl gave head boy drink magaluf ha twitter probly sends nude fag
253,1,thenewsat newsatquestions yeah bitch yeah bitch call _______ maybe b steve c later jesse pinkman machinegunkelly
254,1,thenymphotweets hickies thigh right pussy gt gt gt right
255,1,theonemiss_luu would still love longer young beautiful ugly monkey
256,1,therealrickyb jetsandaswisher gook____ come front bitch coming
257,1,therealrickyb jetsandaswisher faggot bitch http co hyyabk eh
258,1,the_realist_sam madrid _ yea ipad work friday let ball faggot tropicalblanket work
259,0,theo http co byj hoyhmg scally lad would get
260,1,theomaxximus gerryshalloweenparty http co ycrsrnjhc halloween wa yesterday stupid nigger
261,1,theomaxximus chrus still supahot tho walk teacher test drop test bitch fohead http co nb vgdssgi
262,1,thornton kantkeepahbytch love eating pussy lol never get full lol eat shit forever lol ever
263,1,tmacc_gfg voiceofdstreetz tmacc_gfg tizzimarie slush hoe nasty anyway fam hoe taste like med
264,1,tmacc_gfg tizzimarie slush hoe nasty anyway fam
265,1,tmacc_gfg bobby bitch bobbyshmurdags getting live fuck hell yea play hoe workout
267,1,tweetgamelazy ride bitch handle bar
268,1,tyjoncuffee hoe get traphoussseeeee
269,0,uberfacts sad tv character death still bitter http co ulclfuf nc http co rxyqoosm ned stark wa man
270,1,unholy_jack harbor bitch party bus hoe lol
271,1,vbomb woodchuck pussy love
272,1,veronikahumbert ultraviolence video coming little bitch mtvhottest lana del rey http co flbvwqh bitchy promo
273,1,vineforthebyrd way fuck bitch http co lmtfnl iy lmfao kittycopter
274,0,wbur smuggler explains helped fighter along jihadi highway http co ux anxeawd
275,1,wbeezy_ quathegreat aww avis look cute together http co lporcb w got ta get ike avi bitch
276,1,wbeezy_ run_drc simple dont hoe dont worry exposed fight
277,1,wannabekanye bitch boosting http co uod f wtkv size exactly healthy tho
278,1,withaprettyface _ nonlykeisha bet bitch kim bye
279,1,x_xpdotjdot damn near got ta protect tweet stalker annoying got dope dick drive bitch loco
280,1,xojennygirl making marack girlfriend marackaf aye b pullin hoe like taught
281,1,xoxo__angiee bruno fag boy love
282,1,yehits_von run_drc must bitch sike naw always beefing
283,0,yankee yankee look rally bottom th rallycap
284,1,youngricooo wexicanafro take advantage nice person hoe everyjuan
285,1,youngricooo happy birthday bitch nigga wexicanafro thanks pal
286,1,youngricooo sad knowing hoe fuck bc got stack wait till friday
287,1,yungmigo shane_a cinco shit harder fucc nigga yee fucc wit rich homie cuz dat ya homeboy fucc nicca
288,1,zoebarton h rheyd ewww said last sunday last sunday wa read nigs
289,1,_bada_bing punch real nigga face cause pussy nigga gon na punch right back strong mush shake
290,1,_beedontcare pussy still fresh lt something stank girl say
291,1,_geewillikers_ slapping one greatest thing haha slapped girl got mad aint get pussy week
292,1,_tommycollins wearerichnow buffalobills yeah texan much better fucking retard see mad
293,1,__malibubarbie nd wtf dark bitch blonde please several seat hoe looking like black amp milds
294,1,__sugga lane bitch need stay left n get right fuck outta face
295,1,__sneakyb hate boy deny bitch smh
296,1,__taradise__ ya nigs still saying eat butt straight face
297,1,__yourewelcome im bos bitch need sit corner
298,1,_iwantfranny hoe
299,1,_prettyflvck paul thinkin bout gettin rental da weekend oooh shit bitch betta stay da street
300,1,_rapdreams bitch hold nigga get locked nigga go college military different story
301,1,_simplycaitlin friend hate ratchet hoe
302,1,adriwadrri love fuck nigga hoe
303,1,airmaxlad hot meat http co brz imk vk sexy fuck scally lad would love meet trainer
304,1,airmaxlad sniff http co fhhbbrmybn perved scally lad fuck yeah
305,1,alejandra_p bitch love sosa
306,1,alexissixela__ white_thunduh legit watched second wtf prob cause retarded smh
307,1,allisonnamaya_ name cat idea mr pussy
308,1,altosteel http co tm mh xg woof woof sexy thug boy scally
309,1,ambitiousbree _ nonlykeisha u see damn phone ringing married bitch make demand called
310,1,analicialouise tevin favorite sophomore think funny really lmaoo little hoe
311,1,angelenagoley sex position http co nt pabmwsm http co jmhz sczf naw u call fucking soul outta bitch
312,1,ashlingwilde itsnotadam bored supposed cute faggot sometimes
313,0,ayyee_ceee_ one man trash another man treasure
314,1,babineaux_ got type bad bitch thing like iongotnotype
315,1,bigbootybishopp white_thunduh lassen cc coach want feel youll get nig doubt
316,1,bleedingtrap god teeth gold chain white bitch cocaine
317,1,cheetahbluntz_ hoe hoe shhhhh
318,1,chieflottahoes c call roller chiraq call thots across america known hoe
319,1,clayton_jenn gon na miss bitch bus driver lie
320,1,coltforty gone hate bitch try put friendzone bitch tryin score put endzone soul
321,0,complex_uk ashley young ha tried deny bird landed mouth gt http co mlr ewgonk http co avchfj rem hahaha
322,1,datfullerkid trevaughnlg yall gimped tht bitch huh lol
323,0,deepthroatmike boys_south take ride http co h matjyfga redneck woof woof
324,1,demi_eggleton oh god love victoria mitchell bitch love
325,1,djsliime long distance shit wack knew bitch wa cheating uh oh
326,1,fiirting right http co jzkkivuvjc bitch smh
327,1,fatboyswagg ban dat pussy life amp got ta pay millon dollar fine
328,1,fuckcamoclark rose red violet blue nigger black know true dylan
329,0,g rillaz e sitting window sill window open bird try fly smacked protecttheanimals peta
330,1,glowstruck nigga gon nigga nigga sound fuckin retarded
331,0,greggutfeld video entire medium likely mock http co xfr crxwsm crybaby
332,1,gurl_im_angie itskiaraaaa westyourmajesty even shy stfu kikis mom hi angelique angelique smile dip cracker soup
333,1,haitian__gold tim tebow got cut every team wa nfl already got hoe starkville smh
334,1,hazelebaby karma bitch damn godprotectshisangels sip tea
335,1,hornyjhb fuckin hot gym pussy http co zvymcxquta fuck yeah
336,0,hxhassan jihadi patron hajjaj al ajmi arrested kuwait airport http co zmlokfwdql
337,1,iampickuplines call fireman cause turn hoe
338,1,icrawley could never bby lil dick thts got abortion last bitch oh god
339,1,idntwearcondoms watch woman try argue like dick actually fucked pussy hate bitch
340,1,ilgdaily smoke weed public fuck cop man wan na run come retarded
341,0,itrapwatermelon tweety bird tho http co jbnonm n p
342,1,irlfatty pussy sweet like watermelon http co sklph ttog thotermelon
343,0,itscoleharmon_ twitter rapper dm trash link http co nmr auqg
344,1,jsadass loud bitch annoy
345,1,jacaxeltlu eventually every bitch turn hoe truuu
346,1,jaimescudi_ tonybthrz_ jaimescudi_ swear oomf try talking tomorrow barackobama pussy
347,1,jama_jam bitch pretending tf crazy never lied
348,1,jasmyncyniquee white_thunduh k bye hoe um bye
349,1,jayswaggkillah jackies retard blondeproblems least make grilled cheese
350,1,jboii ima keep giving pussy nigga ah reason hate
351,0,jethromass photo http co cxrs bvhpw sole heaven
352,1,jgabsss stacey dash http co pdlg rjol baddest bitch evaaaa
353,1,juicyyyjayyyy side bitch sunday
354,1,k_eazy fact baldheaded bitch made shit http co fdyojpt xg lmao
355,1,kayreneeee_ fuck wit u tweakin hoe shmurda
356,0,kazooook actin like th day wesgodlaflare http co gmtevpat spook
357,1,kikistfu break lil bitch neck even feel sorry savage
358,1,leikant fucking hot scally sneakersex sockfetish sniff trainersex http co tubivxbxco love kinky scallies
359,1,likemicah dumb nigga pressed hoe weak fuck fuck weed hoe oreo
360,1,lildurk_ turn yo bitch eaterrrrrrrrr
361,1,lildurk_ trust dese hoe nikki told st stay fan screen shot asap finna come chiraq shoot sumn
362,1,marackaf white_thunduh aye yall ima tryout bowling team frfr tryout passed tho two retard
363,1,maybe u got u want bitch enjoy http co glqzwtgmj crazy party would love attend
364,0,metroadlib colored contact eye blinder mine cause see lmao
365,1,michelle_westt fact poonsoaker dude hoe say got hoe j_austin
366,1,midywidey_ rea start smacking bitch period bluffin best
367,1,molssyo life bitch die thats get high cause neva know gon na go sister perfect
368,1,molssyo one u drug still wrong currieburry hahahahahahah im bitch sometimes
369,1,morgandaylee feeling pretty fuckin ghetto smh
370,0,nohands_ tolife_ nohands_ dejaaleeann_ b_coleman swears man easily easily behind austin nip
371,1,obey_jrock__ true ride die bitch http co bkwhx fkw fuck hahahahah
372,0,oldpicsarchive h g well charlie chaplin http co stiddhk wt history photography
373,1,ortiz_jaylene see bruno bitch twitter wtf bruno see drake voice
374,1,ozzie_garza white_thunduh cool faggot chill tf cool nigga
375,1,ozzie_garza white_thunduh sure bitch frfr tf
376,1,poppunksucks twitter source news broadcast fucking retard nbc abc cnn fox etc keeping quiet
377,1,queendulaaa got couple bitch saying know let money talk like wwyd
379,0,rhythmixx_ told mariam cigarette birthday also called trash rn
380,0,riananewman edham brownie tonight kind
381,1,rollyup text back give fuck text another bitch damn someone hurt lol
382,1,ronald_iongi ummmmmm okay http co bvlsci k got hoe left right yah thang
383,1,royalswagg_ using mx b find slope
384,0,rugbysocklad fit lad nice gear http co thnxx lc scally lad n trainer would get
385,1,rugbysocklad hell yeah bro http co yib ud c fuck yeah sexy scally lad hot gear
386,1,rugbysocklad helping mate http co emnado qoj love scally play fuck yeah
387,1,rugbysocklad lad lad http co f ujcyj fuck yeah love scally lad action hot trainer
388,1,savage_twotone next year bitch gon na like got ta promise expose
390,1,sierrabernia g_cincokilby think celebrity pussy different local yeah meghan good
391,0,sleepy_yongguk saw ajumma walk beginning saying wow trash even listen lmaoo
392,1,sniffsockslad need sox http co xydb rchxh fuck yeah love kinky scally lad w rank sox sneak
393,1,snoleezey ever expose female like childish bitch nigga shiiii
394,1,socass_ sexilexi socass_ yasss try new thing bestfriend bitch love
395,0,socass_ dude remember wop video sexilexi http co p heuboqbu omg find
396,1,soxandjox thick raw fuck http co g rvuhcebn damn man pussy getting workout
398,1,splurgb_ nothin life free bitch need write ya panty
399,1,stephencdo currieburry one bitch want burrito u catch potosino huh haha
400,1,talibanshawtyy nigga whole hoe cuz said better
401,1,theaveragerocks hardcore way eat mac cheese boil water snort cheese powder drink boiling water fuck bitch
402,1,thebravebird yourenotmytype fade perpetually fresher real bitch rite
403,1,thejudyann annoying bitch love http co oxlqvqbrc judyann pretty
404,1,thotmouths http co aqkgorauxx lmao bitch got huggies
405,1,trestiffer hi bitch bitch bye bitch http co rbcrxmrtqp
406,1,trutherbot doe look like bitch el_capacitor
407,1,whoiscoreyking chase money hoe
408,1,whooligan__ stand know want nigga bitch
409,1,wiganzlad markycrumb gmail_shorts way http co mqczuxlbtt love chav hot sexy scally fucker
410,1,witmyrudeass newly gay bitch kno shit work
411,1,witmyrudeass bitch want real job become stripper lol lol
412,1,wodaeeex awww meat meat feelins ainn n feeling bitch
413,1,wodaeeex want snake bite industrial piercin amp tattoo dem hoe accessory dea
414,0,worldtraveis baby albino http co tytqj fec meeeesh
415,1,worldwarzee_ hoe loyal
416,1,xoxoclauudia yassssss ordered chinese bitch ate taco fat fuck
417,1,z mbiedance made bitch lunch elizabethbatman bitch love lunch
418,1,brainer soon bitch get rich political power view change political whore http co ekepsjwcyu
419,1,pussy day keep devil away doperthanyola
420,1,bitch doe mean
421,1,bitch want baby want child
422,1,bitch must lost
423,1,baby like left side bitch cuz street side twitter said real
424,0,bae sound like ghetto word use something else
425,1,batter wee cunt jewis co fucked ex emma isnt battering girl nailed ive moved stop pussy n urself
426,1,bleed hoe alexa
427,1,boolin bando wit bitch
428,0,brownie brownie love movie
429,1,need bad bitch hotter might realist shit partynextdoor ever said feelin everyday
430,1,way punch bitch
432,0,chinese maverick communicating comrade u know giving imperialist yank birdie http co gz jerps
433,1,dad say hi snapchat dad duce bitch
434,1,believe hoe fact loyal disagree believe fact loyalest bunch hoe
435,1,know ugly bitch know broke nigga kevin_gates
436,1,make make fall live nigga like meee bird amp favorite song weeknd
437,1,worry nigga see worry nigga see dat da nigga fuckin yo bitch
438,1,ever give pussy away keep tight alright
439,1,dropped stack cause bitch poloboy song called dope download mixtape http co lacz e tg
440,1,dumb bitch dumb thing
441,1,eat pussy like real nigga hungry
442,1,eff let go cripple http co ksamx jpfv
443,1,everything look better bitch next
444,1,facto shaunasayomi care hoe look like http co cjdt aqf
445,1,every bad bitch nigga tired fucking
446,1,foreign chick lie man bitch beautiful
447,1,fresh nigga kno need clean bitch kno working cuz wan na see team rich http co cgx hnak
448,1,fuck make rule suck dragon ball bitch call goku
449,0,generate ascii box nodejs see ability bring flappy bird node via ascii tube bird _ http co lrjwdfhv
450,1,get shit bitch fine bear
451,1,get back detroit ya fuckin wigger
452,1,girl dated okay mad yo unless stabbed heart love hoe
453,1,know twitter password bitch please
454,1,seen show seen hoe hot would thick
455,1,bitch hitting hoe
456,1,married white woman lucky sum bitch uncle ruckus
457,1,wan na nigga trinna saving account omg imma funny bitch man real shit
458,1,great grandma hoe grandma hoe mom hoe hoe long line hoe grandpa carl everyone
459,1,hey go look video man found kidnapped girl ohio nigger shitmybosssays
460,1,hey pussy still
461,0,draft gung ho folk send afghanistan war zone show http co sr zcehx
462,1,hotter bitch
463,1,u talking hoe bout bro n em talking hoe bout bro n em
464,1,crazy bitch hilarious
465,1,know shoe dirty fuck whatever bitch call like negro one first thing look shoe dog
466,0,thrill billy hillbilly heart billyraycyrus hahahahaha jesus murphy
467,1,call bitch makennam_
468,1,handle liquor bitch handle meeedd chief sosa
469,1,chase dude chase bitch edgar bautista
470,1,love hoe baby forever
471,1,dont even need picture tamar bitch beat every picture
472,1,dont hoe
473,0,found new way chug open mouth alot shitallysays
474,1,fucking hate bitch much wan na smack face tongue kiss
475,1,got bitch set like jada picket queen latifah riding round niece bitch titi
476,1,got sister told stop calling woman bitch
477,1,guess night bitch die stewie nigga
478,1,bitch bitch bitch eating halibut iamyoungroc freshrhymes jerksquad slowstir
479,1,lady love married still wan na bang sex bitch troubadour probably
480,1,heard wa looking candy man bitch
481,1,hope get mad lady call bitch bitch bc know name individually katt williams letmicahdown
482,1,got number bitch boy
483,1,know shit eatin grin either fucked girl dream sold car know faggot sell
484,1,older men cause mature supposed fool u bitch
